product_concept_key,product_name,core_family,product_form,candidate_scent_name,canonical_scent_name,scent_identity_type,proposed_scent_identity_id,decision,evidence_field,evidence_excerpt,evidence_url,decision_reason,reviewer,reviewed_at,same_label_cross_type
CAPSULES::橙花电子扩香器香氛补充包,橙花 - 电子扩香器香氛补充包,家居香氛,电子扩香器,橙花,橙花,HomeScent,scent:home:9cb3a4c80b60,pending_review,meta_description,车载扩香器香氛套装、圣日尔曼大道34号、替换装、浆果香、希腊无花果、玫瑰、含羞草、橙花、琥珀、晚香玉、生姜,https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-insert.html,"Only weak title, subtitle, or metadata evidence is available; it cannot independently publish HAS_SCENT.",codex_source_audit,2026-07-27,no
concept::家居香氛::烛台香氛蜡烛::炭木香烛台香氛蜡烛,炭木香烛台香氛蜡烛,家居香氛,烛台香氛蜡烛,炭木香,炭木香,HomeScent,scent:home:9f839def5f16,pending_review,product_name,,https://www.diptyque-cn.com/p/feu-de-bois-wood-fire-scented-dinner-candle-75g.html,No independent source field corroborates the name-derived scent identity.,codex_source_audit,2026-07-27,no
CANDLERO1500::超大号香氛蜡烛玫瑰,超大号香氛蜡烛-玫瑰,家居香氛,超大号香氛蜡烛,玫瑰,玫瑰,HomeScent,scent:home:7e29b8c11693,pending_review,product_name,,https://www.diptyque-cn.com/p/roses-extralarge-candle.html,No independent source field corroborates the name-derived scent identity.,codex_source_audit,2026-07-27,yes
EDTSUM26SENS100::感官之水淡香水（限量版）,感官之水淡香水（限量版）,个人香氛,淡香水,感官之水,感官之水,SignatureFragrance,scent:signature:023796ea560e,pending_review,meta_description,感官之水淡香水（限量版）,https://www.diptyque-cn.com/p/eau-de-toilette-eau-des-sum26sens-100ml-1.html,"Only weak title, subtitle, or metadata evidence is available; it cannot independently publish HAS_SCENT.",codex_source_audit,2026-07-27,no
HOMEREEDREFILL2L3::圣日尔曼大道34号室内扩香摆件补充瓶,圣日尔曼大道34号室内扩香摆件补充瓶,家居香氛,室内扩香摆件,圣日尔曼大道34号,圣日尔曼大道34号,HomeScent,scent:home:d1bf12d71e9b,approved,fragrance,圣日尔曼大道34号2L,https://www.diptyque-cn.com/p/refreed34b2l-home-fragrance-diffuser-refill.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
CANDLEFI600::大号香氛蜡烛无花果,大号香氛蜡烛-无花果,家居香氛,大号香氛蜡烛,无花果,无花果,HomeScent,scent:home:a0feff139222,approved,pdp_short_description,将无花果的标志性香气，注入深绿色手工陶瓷容器之中。,https://www.diptyque-cn.com/p/home-fi600-600g.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMESCO3::希腊无花果室内香氛蜡,希腊无花果室内香氛蜡,家居香氛,室内香氛蜡,希腊无花果,无花果,HomeScent,scent:home:a0feff139222,approved,fragrance,希腊无花果,https://www.diptyque-cn.com/p/figuier-fig-tree-scented-oval.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
CAPSULES6::希腊无花果扩香器香氛补充包,希腊无花果扩香器香氛补充包,家居香氛,电子扩香器,希腊无花果,无花果,HomeScent,scent:home:a0feff139222,approved,fragrance,希腊无花果,https://www.diptyque-cn.com/p/cartouche-figuier-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HOMEHGFOCARB2D::希腊无花果扩香精,希腊无花果扩香精,家居香氛,扩香精,希腊无花果,无花果,HomeScent,scent:home:a0feff139222,approved,fragrance,希腊无花果,https://www.diptyque-cn.com/p/sablier-figuier-2-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HOMEHGFOCARB2K::希腊无花果扩香精补充瓶,希腊无花果扩香精补充瓶,家居香氛,扩香精,希腊无花果,无花果,HomeScent,scent:home:a0feff139222,approved,fragrance,希腊无花果,https://www.diptyque-cn.com/p/figuier-fig-tree-hourglass-diffuser-refill-2-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
SOLIDPERFUME4::橙花室内扩香摆件补充装,橙花 - 室内扩香摆件补充装,家居香氛,室内扩香摆件,橙花,橙花,HomeScent,scent:home:9cb3a4c80b60,approved,pdp_long_description,室内扩香摆件在带来香气的同时，亦是一件精美的家居装饰艺术品。天然藤条扩香棒吸收扩香精油后，将橙花的气息扩散开来。,https://www.diptyque-cn.com/p/orange-blossom-home-fragrance-diffuser-refill.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMEHGFOCARB2M::橙花扩香精补充瓶,橙花扩香精补充瓶,家居香氛,扩香精,橙花,橙花,HomeScent,scent:home:9cb3a4c80b60,approved,fragrance,橙花,https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-hourglass-diffuser-refill-2-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HOMELDDRGDISHSOAP1::橙花餐具清洁液,橙花餐具清洁液,家居香氛,餐具清洁液,橙花,橙花,HomeScent,scent:home:9cb3a4c80b60,approved,pdp_short_description,可轻松实现洁净去污功效，带来橙花、柑橘及罗勒的愉悦香气，仿佛夏日的气息始终环绕左右。,https://www.diptyque-cn.com/p/dishwashing-liquid-with-orange-blossom-500ml.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMELDDRGDISHSOAP2::橙花餐具清洁液补充装,橙花餐具清洁液补充装,家居香氛,餐具清洁液,橙花,橙花,HomeScent,scent:home:9cb3a4c80b60,approved,pdp_short_description,可轻松实现洁净去污功效，带来橙花、柑橘及罗勒的愉悦香气，仿佛夏日的气息始终环绕左右。,https://www.diptyque-cn.com/p/refill-dishwashing-liquid-with-orange-blossom-500ml.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMEREEDREFILL2L2::浆果香室内扩香摆件补充瓶,浆果香室内扩香摆件补充瓶,家居香氛,室内扩香摆件,浆果香,浆果香,HomeScent,scent:home:d6964de3d497,approved,fragrance,浆果香2L,https://www.diptyque-cn.com/p/refreedb2l-home-fragrance-diffuser-refill.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
concept::家居香氛::烛台香氛蜡烛::浆果香烛台香氛蜡烛,浆果香烛台香氛蜡烛,家居香氛,烛台香氛蜡烛,浆果香,浆果香,HomeScent,scent:home:d6964de3d497,approved,pdp_long_description,浆果香氛蜡烛诉说着花朵与果实融合的和谐篇章。,https://www.diptyque-cn.com/p/baies-berries-scented-dinner-candle-75g.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
CANDLERO300::中号香氛蜡烛玫瑰,中号香氛蜡烛-玫瑰,家居香氛,中号香氛蜡烛,玫瑰,玫瑰,HomeScent,scent:home:7e29b8c11693,approved,pdp_short_description,五月的清晨，初绽的玫瑰以不同姿态沐浴着露珠。花瓣上还带着夜的凉意，悄然透出沁人香气。,https://www.diptyque-cn.com/p/bougie-ro-300g.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,yes
CANDLEGR1::香氛蜡烛玫瑰天竺葵,香氛蜡烛-玫瑰天竺葵,家居香氛,经典香氛蜡烛,玫瑰天竺葵,玫瑰天竺葵,HomeScent,scent:home:60272c1fa58a,approved,pdp_long_description,玫瑰天竺葵香氛蜡烛突显两种花朵的相似气息。,https://www.diptyque-cn.com/p/rose-geranium-candle-remavp.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
concept::家居香氛::室内扩香摆件::琥珀室内扩香摆件补充瓶,琥珀室内扩香摆件补充瓶,家居香氛,室内扩香摆件,琥珀,琥珀,HomeScent,scent:home:8804ae0c4c63,approved,fragrance,琥珀2L,https://www.diptyque-cn.com/p/refreedab2l-home-fragrance-diffuser-refill.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
CANDLETAPCDLB1B::琥珀烛台香氛蜡烛,琥珀烛台香氛蜡烛,家居香氛,烛台香氛蜡烛,琥珀,琥珀,HomeScent,scent:home:8804ae0c4c63,approved,pdp_short_description,琥珀香丸置身古老宝盒之中，充分吸收了宝盒珍稀木质的馥郁芳香，并含有香脂及香料气息。,https://www.diptyque-cn.com/p/ambre-amber-scented-dinner-candle-75g.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
CANDLEAMB1500::超大号香氛蜡烛琥珀,超大号香氛蜡烛-琥珀,家居香氛,超大号香氛蜡烛,琥珀,琥珀,HomeScent,scent:home:8804ae0c4c63,approved,pdp_short_description,每颗蜡烛都有5条烛芯。同时点燃，琥珀的木质香气温暖且带有皮革香气，令人难以忘怀。,https://www.diptyque-cn.com/p/ambre-amber-extralarge-candle.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMERSP7::生姜扩香精补充瓶,生姜 - 扩香精补充瓶,家居香氛,扩香精,生姜,生姜,HomeScent,scent:home:75c3136d0e43,approved,pdp_short_description,释放生姜的活泼辛辣香调。,https://www.diptyque-cn.com/p/gingembre-ginger-hourglass-diffuser-refill-2-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HOMERSP2::生姜室内喷雾,生姜室内喷雾,家居香氛,室内喷雾,生姜,生姜,HomeScent,scent:home:75c3136d0e43,approved,fragrance,生姜,https://www.diptyque-cn.com/p/gingembre-ginger-room-spray.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
CAPSULES3::生姜扩香器香氛补充包,生姜扩香器香氛补充包,家居香氛,电子扩香器,生姜,生姜,HomeScent,scent:home:75c3136d0e43,approved,fragrance,生姜,https://www.diptyque-cn.com/p/gingembre-ginger-insert.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HOMEHGFOCARB2F::生姜扩香精,生姜扩香精,家居香氛,扩香精,生姜,生姜,HomeScent,scent:home:75c3136d0e43,approved,fragrance,生姜,https://www.diptyque-cn.com/p/gingembre-ginger-hourglass-diffuser-2-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HANDORPHHCREAM::奥费恩香氛护手霜,奥费恩香氛护手霜,身体护理,护手霜,奥费恩,奥费恩,SignatureFragrance,scent:signature:84e8ccde3a47,approved,fragrance,奥费恩香调,https://www.diptyque-cn.com/p/orphhcream-hand-cream-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
BODYOMBBGEL::影中之水香氛洁肤露,影中之水香氛洁肤露,身体护理,洁肤露,影中之水,影中之水,SignatureFragrance,scent:signature:c4f4dbfc1457,approved,description_text,香材氤氲成香，香气有形如触。 香氛之艺自品牌香氛历史汲取灵感，质地经过重新演绎重塑用香之道。无形化为感官，飘渺变得可触。每件香品均依照配方，精心调配浓度，呈献别具一格最精致的嗅觉表达。依心情与时刻，可单独使用，亦可层叠搭配。 影中之水呈现于绿意与花间层层铺展的画中景致，黑醋栗叶片的浓浓绿意、叶芽的酸涩调性与馥郁的玫瑰花香，一同勾勒出倒映于水面的自然轻梦，在光影之间，轻轻呼吸。,https://www.diptyque-cn.com/p/ombb-gel-200ml.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
BODYOMBBLOTION::影中之水香氛润肤乳,影中之水香氛润肤乳,身体护理,润肤乳,影中之水,影中之水,SignatureFragrance,scent:signature:c4f4dbfc1457,approved,description_text,香材氤氲成香，香气有形如触。 香氛之艺自品牌香氛历史汲取灵感，质地经过重新演绎重塑用香之道。无形化为感官，飘渺变得可触。每件香品均依照配方，精心调配浓度，呈献别具一格最精致的嗅觉表达。依心情与时刻，可单独使用，亦可层叠搭配。 影中之水呈现于绿意与花间层层铺展的画中景致，黑醋栗叶片的浓浓绿意、叶芽的酸涩调性与馥郁的玫瑰花香，一同勾勒出倒映于水面的自然轻梦，在光影之间，轻轻呼吸。,https://www.diptyque-cn.com/p/ombb-lotion-200ml.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
BODYSENSHCREAM::感官之水香氛护手霜,感官之水香氛护手霜,身体护理,护手霜,感官之水,感官之水,SignatureFragrance,scent:signature:023796ea560e,approved,pdp_short_description,将感官之水的香气融入丰润护手霜之中，层层铺展的清新香气向苦橙树致敬。,https://www.diptyque-cn.com/p/home-senshcream-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
BODYSENSBLOT::感官之水香氛润肤乳,感官之水香氛润肤乳,身体护理,润肤乳,感官之水,感官之水,SignatureFragrance,scent:signature:023796ea560e,approved,pdp_short_description,感官之水的标志性香气化作轻盈乳液，苦橙树所有维度的香气轻柔包裹肌肤。,https://www.diptyque-cn.com/p/ssensblot-gwp-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
BODYLOTIONS1::杜桑香氛润肤乳,杜桑香氛润肤乳,身体护理,润肤乳,杜桑,杜桑,SignatureFragrance,scent:signature:d0311d79a77c,approved,fragrance,杜桑,https://www.diptyque-cn.com/p/doson-hand-and-body-lotion-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
EDTNERO100V1::橙花香调淡香水,橙花香调淡香水,个人香氛,淡香水,橙花,橙花香调,SignatureFragrance,scent:signature:7316c88abb34,approved,pdp_short_description,在意大利卡拉布里亚的橙花收获季，空气中四处弥漫着优美的柑橘香气。而不远处的佛手柑也飘来阵阵花粉与绿叶的动人气息。,https://www.diptyque-cn.com/p/eau-de-toilette-eau-de-neroli-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
BODYGEL5::玫瑰香氛洁肤露,玫瑰香氛洁肤露,身体护理,洁肤露,玫瑰,玫瑰,SignatureFragrance,scent:signature:7280ec9e7052,approved,fragrance,玫瑰,https://www.diptyque-cn.com/p/rose-cleansing-hand-and-body-gel-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,yes
DIPXM25LARGEEDPFL::典藏版肌肤之花淡香精,典藏版肌肤之花淡香精,个人香氛,淡香精,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,pdp_long_description,绵软轻盈，温和柔润。在肌肤之花淡香精中，麝香映衬着鸢尾花和黄葵籽的香气，呈现出令人沉醉的感官世界。是年末礼赠的理想之选。,https://www.diptyque-cn.com/p/fleur-de-peau-eau-de-parfum-200ml-holiday.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
HAIRMIST::肌肤之花发香喷雾,肌肤之花发香喷雾,个人香氛,发香喷雾,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hair-mist.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
HANDCRE4::肌肤之花护手霜,肌肤之花护手霜,身体护理,护手霜,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hand-cream-45-ml-1.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,身体护理,洁肤露,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
concept::身体护理::润肤乳::肌肤之花润肤乳,肌肤之花润肤乳,身体护理,润肤乳,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hand-and-body-lotion.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
EDTFLEUR::肌肤之花淡香水,肌肤之花淡香水,个人香氛,淡香水,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,pdp_short_description,肌肤之花淡香水刚中带柔，重新演绎普赛克与厄洛斯对永恒爱恋的不懈追寻。,https://www.diptyque-cn.com/p/fleur-de-peau-eau-de-toilette-100ml-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
EDPFLEURP75C::肌肤之花淡香精,肌肤之花淡香精,个人香氛,淡香精,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,pdp_long_description,麝香是肌肤之花淡香精的基调，绵软而又轻盈，温和而又柔润。映衬着鸢尾花和黄葵籽的香气，呈现出令人沉醉的感官世界。,https://www.diptyque-cn.com/p/fleur-de-peau-eau-de-parfum-1.html,Official product copy explicitly connects the product with this scent identity.,codex_source_audit,2026-07-27,no
SOLIDPERFUME1::肌肤之花香膏,肌肤之花香膏,个人香氛,香膏,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/solidfleur-refillable-solid-perfume.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
SOLIDPERFUME8::肌肤之花香膏补充装,肌肤之花香膏补充装,个人香氛,香膏,肌肤之花,肌肤之花,SignatureFragrance,scent:signature:6acc04e82ce4,approved,fragrance,肌肤之花,https://www.diptyque-cn.com/p/rsolidefdp-refillable-solid-perfume.html,Official fragrance field exactly supports the scent identity.,codex_source_audit,2026-07-27,no
