relation_id,source_product_key,source_product_name,relation_type,target_product_key,target_product_name,relation_label,scenario,evidence_type,evidence_field,evidence_text,evidence_url,confidence,review_status,reviewer,reviewed_at,notes
REL-055B70C8732F,BODYGEL2::奥费恩洁肤露,奥费恩洁肤露,SCENT_RITUAL_WITH,HAIRORPHHMIST::奥费恩发香喷雾,奥费恩发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：奥费恩,https://www.diptyque-cn.com/p/orpheon-cleansing-hand-and-body-gel-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：奥费恩洁肤露与发香喷雾同系列，香材一致，适合香氛仪式。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-06F8800B7EF0,BODYLOTIONS::玫瑰香调润肤乳,玫瑰香调 - 润肤乳,SCENT_RITUAL_WITH,HOMERSP4::玫瑰香调固体香膏,玫瑰香调 - 固体香膏,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰香调,https://www.diptyque-cn.com/p/eau-rose-hand-and-body-lotion-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列'玫瑰香调'，香调匹配，身体护理与个人香氛互补，符合政策。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-079856C26651,BODYLOTIONS::玫瑰香调润肤乳,玫瑰香调 - 润肤乳,SCENT_RITUAL_WITH,HAIRMIST3::玫瑰香调发香喷雾,玫瑰香调发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰香调,https://www.diptyque-cn.com/p/eau-rose-hand-and-body-lotion-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列'玫瑰香调'，香调匹配，身体护理与发香喷雾互补，符合政策。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-08A36B22BD20,CANDLEFI::香氛蜡烛无花果,香氛蜡烛-无花果,PAIRS_WITH,HOMERSP::无花果室内喷雾,无花果 - 室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：无花果,https://www.diptyque-cn.com/p/bougie-figuier-190-remavp.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：香氛蜡烛与室内喷雾同属无花果系列，家居香氛不同形态可搭配作为同香型组合。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-0A3B1B91CDF3,CANDLE34B1500::超大号香氛蜡烛圣日尔曼大道34号,超大号香氛蜡烛-圣日尔曼大道34号,PAIRS_WITH,HOMEHGFOCARB2A::圣日尔曼大道34号扩香精,圣日尔曼大道34号扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：圣日尔曼大道34号,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-candle-1-5kg.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：圣日尔曼大道34号系列超大号香氛蜡烛与扩香精为同系列不同家居香氛形式，支持同类香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-0AB7A76F5C1E,BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,SCENT_RITUAL_WITH,DIPXM25LARGEEDPFL::典藏版肌肤之花淡香精,典藏版肌肤之花淡香精,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：肌肤之花洁肤露与典藏版淡香精同系列气味一致，适合香氛仪式。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-0C74F0A87D64,HOMEREEDREFILL200H::玫瑰香调香氛皂,玫瑰香调 - 香氛皂,SCENT_RITUAL_WITH,HOMERSP4::玫瑰香调固体香膏,玫瑰香调 - 固体香膏,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰香调,https://www.diptyque-cn.com/p/eau-rose-perfumed-soap.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列'玫瑰香调'，香调匹配，香氛皂与固体香膏互补，符合政策。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-0CDEDA21FB49,BODYLOTIONS2::晚香玉室内喷雾,晚香玉 - 室内喷雾,PAIRS_WITH,CANDLETBR2::中号香氛蜡烛晚香玉,中号香氛蜡烛-晚香玉,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：晚香玉,https://www.diptyque-cn.com/p/tubereuse-tuberose-room-spray.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：晚香玉室内喷雾与中号蜡烛同属晚香玉系列，可作为同香型家居香氛搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-0DE3827924F8,HOMEHGFOCARB2F::生姜扩香精,生姜扩香精,PAIRS_WITH,HOMERSP2::生姜室内喷雾,生姜室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：生姜,https://www.diptyque-cn.com/p/gingembre-ginger-hourglass-diffuser-2-1.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：生姜扩香精与生姜室内喷雾为同一系列，同香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-0EE8197AA264,concept::身体护理::润肤乳::肌肤之花润肤乳,肌肤之花润肤乳,SCENT_RITUAL_WITH,SOLIDPERFUME1::肌肤之花香膏,肌肤之花香膏,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hand-and-body-lotion-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同系列身体护理与个人香氛，匹配。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-10A048BE7720,BODYGEL1::希腊无花果香调洁肤露,希腊无花果香调洁肤露,SCENT_RITUAL_WITH,EDPPHILOP75C::希腊无花果香调淡香精,希腊无花果香调淡香精,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：希腊无花果,https://www.diptyque-cn.com/p/philosykos-cleansing-hand-and-body-gel-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：希腊无花果洁肤露与淡香精同系列，香材一致，适合香氛仪式。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-1218E7D64C50,DECODECO01282::水墨画陶瓷灭烛罩,水墨画陶瓷灭烛罩,PAIRS_WITH,DECODECO01631::水墨画陶瓷烛台,水墨画陶瓷烛台,搭配,同系列香气或同设计搭配,official_product_copy+design_identity+model_review+codex_rule_gate,pdp_long_description,当做灭烛罩使用可以减少蜡烛的烟雾，也可以搭配同款烛台用于室内的装饰。,https://www.diptyque-cn.com/p/landscape-snuffer-deco01282.html,0.86,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：文案明确提到与同款烛台搭配，设计身份一致（水墨画陶瓷）。 规则复核：官方商品文案点明目标品型，且设计身份规则已对齐。
REL-135F42FA43BF,CANDLEROSE600::大号香氛蜡烛玫瑰,大号香氛蜡烛-玫瑰,PAIRS_WITH,HOMEHGFOCARB2C::玫瑰扩香精,玫瑰扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰,https://www.diptyque-cn.com/p/roses-candle-600g.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一玫瑰系列的大号蜡烛与扩香精，香调一致，可配对。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-13AA28FC4B3A,CANDLERO300::中号香氛蜡烛玫瑰,中号香氛蜡烛-玫瑰,PAIRS_WITH,HOMEHGFOCARB2C::玫瑰扩香精,玫瑰扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰,https://www.diptyque-cn.com/p/bougie-ro-300g.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一玫瑰系列的不同家居香氛形式，可作为同香调搭配推荐。 规则复核：同系列且不同香气载体，作为策展搭配发布。
