"compatibility_id","source_product_key","source_product_name","relation_type","spec_type","spec_value","spec_label","scenario","evidence_type","evidence_field","evidence_text","evidence_url","confidence","review_status","reviewer","reviewed_at","notes"
"SPEC-46C856CD2C09","DECOCANASS06::全曲线玻璃烛罩L","全曲线玻璃烛罩 L","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：硼硅玻璃，胶木底座 重量：461g 尺寸：直径8cm / 高14cm","https://www.diptyque-cn.com/p/glass-candle-holder-for-classic-candles.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-8346B5C44EC9","DECOCANASS05::全曲线玻璃烛罩S","全曲线玻璃烛罩 S","ACCESSORY_FOR_SPEC","candle_weight","70g","70g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：70g蜡烛 材质：硼硅玻璃，胶木底座 重量：240g 尺寸：直径7cm / 高11cm","https://www.diptyque-cn.com/p/glass-candle-holder-for-mini-candles.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-34F88BD3EB9A","DIPDECO01436::千面光影镜面烛台","千面光影镜面烛台","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","-搭配：190g或300g蜡烛 -材质：黄铜镜面，矿物质底座 -重量：440克 -规格：高25厘米；直径11厘米","https://www.diptyque-cn.com/p/flames-reflecting-candle-stand.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-418DBEF7CF13","DIPDECO01436::千面光影镜面烛台","千面光影镜面烛台","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","-搭配：190g或300g蜡烛 -材质：黄铜镜面，矿物质底座 -重量：440克 -规格：高25厘米；直径11厘米","https://www.diptyque-cn.com/p/flames-reflecting-candle-stand.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-F740EA7DD15F","Dip2022102027::字母金属烛罩","字母金属烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：金属 重量：360g 尺寸：直径10cm / 高11.5cm","https://www.diptyque-cn.com/p/alphabet-candle-holder-deco01069.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-6C6ADEB6D91D","Dip2022102026::星座玻璃烛罩","星座玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：玻璃 重量：740g 尺寸：直径10cm / 高12cm","https://www.diptyque-cn.com/p/constellation-candle-holder-decov21068.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-486576D8FF56","DECOCANASS13::植物图鉴玻璃烛盖含羞草","植物图鉴玻璃烛盖-含羞草","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/mimosa-lid.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-4746DA346283","DECOCANASS12::植物图鉴玻璃烛盖浆果","植物图鉴玻璃烛盖-浆果","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/baies-lid.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-D7D3C5DA38F2","DECOCANASS11::植物图鉴玻璃烛盖玫瑰","植物图鉴玻璃烛盖-玫瑰","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/roses-lid.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-0715E5BBE43E","DECOCANASS09::植物图鉴玻璃烛盖紫罗兰","植物图鉴玻璃烛盖-紫罗兰","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/muguet-lily-of-the-valley-lid.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-8CA9C1ABB14B","DECOCANASS10::植物图鉴玻璃烛盖铃兰","植物图鉴玻璃烛盖-铃兰","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/violet-lid.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
