"relation_type","zh_label","relation_layer","source_node_type","target_node_type","directionality","symmetric","transitive","evidence_required","min_confidence","description","publication_rule"
"REFILL_FOR","补充适用于","factual_compatibility","Product","Product","directed","false","false","true","0.90","补充装或替换芯适用于明确的原商品或容器","仅审核通过后发布"
"ACCESSORY_FOR","适配","factual_compatibility","Product","Product","directed","false","false","true","0.85","配件与明确规格或设备商品的兼容关系","仅审核通过后发布"
"PART_OF_SET","属于套装","fact","Product","Product","directed","false","false","true","0.95","商品是礼盒或套装的明确组成部分","仅原始清单明确且审核通过后发布"
"SHARES_NOTE","共享香材","derived_fact","Product","Product","undirected","true","false","true","1.00","两款商品共享已核验的具体香材","查询时计算不默认落边"
"SAME_COLLECTION","同系列","derived_fact","Product","Product","undirected","true","true","true","1.00","两款商品属于同一已核验系列","查询时计算不默认落边"
"PAIRS_WITH","搭配","recommendation","Product","Product","undirected","true","false","true","0.80","面向使用体验的跨商品搭配建议","仅有人工或官方证据且审核通过后发布"
"LAYER_WITH","叠香","recommendation","Product","Product","directed","false","false","true","0.85","两款香氛按明确顺序组合使用的建议","仅有人工或官方证据且审核通过后发布"
"EXTENDS_TO_HOME","延伸至家居","recommendation","Product","Product","directed","false","false","true","0.80","个人香氛与家居香氛之间的场景延伸建议","仅有人工或官方证据且审核通过后发布"
"GIFT_WITH","组合赠礼","recommendation","Product","Product","undirected","true","false","true","0.80","适合作为同一赠礼组合的建议","仅有人工或官方证据且审核通过后发布"
"ALTERNATIVE_TO","可替代","recommendation","Product","Product","undirected","true","false","true","0.85","用途或香气体验相近的替代建议","仅有人工或官方证据且审核通过后发布"
"HAS_COMPATIBILITY_SPEC","商品规格","fact","Product","CompatibilitySpec","directed","false","false","true","1.00","商品从原始规格字段获得的兼容规格事实","由规格字段确定后发布"
"ACCESSORY_FOR_SPEC","适配规格","factual_compatibility","Product","CompatibilitySpec","directed","false","false","true","0.90","配件对明确商品规格的兼容关系","仅审核通过后发布"
"SCENT_RITUAL_WITH","香气延续","recommendation","Product","Product","directed","false","false","true","0.75","同系列身体护理与个人香氛形成的使用仪式候选","必须补充明确场景理由并人工审核后发布"
